index,col_points,diameter [cm],radius [m],frequency [GHz],distance [mm],sPDn_pln [W/m2],sPDn_sph [W/m2]
0,3.0,10.424,0.05212,2.4,2.5,5.692901980400289,6.357557802621957
1,3.0,10.424,0.05212,2.4,5.0,4.346883971284909,4.589747178036845
2,3.0,10.424,0.05212,2.4,10.0,2.5188832913401797,2.5206867420312102
3,3.0,10.424,0.05212,2.4,50.0,0.2146050863214159,0.211298585535735
4,3.0,10.424,0.05212,2.4,150.0,0.02565940592648469,0.02533593547757006
5,3.0,10.424,0.05212,3.0,2.5,5.735936783075744,6.421362762468569
6,3.0,10.424,0.05212,3.0,5.0,4.415541563246041,4.672254237893531
7,3.0,10.424,0.05212,3.0,10.0,2.5914454978556156,2.5987874030822766
8,3.0,10.424,0.05212,3.0,50.0,0.21806740411289252,0.21491057414380804
9,3.0,10.424,0.05212,3.0,150.0,0.025722218911750288,0.025399562496107555
10,3.0,10.424,0.05212,3.5,2.5,5.795417967533194,6.505181298112532
11,3.0,10.424,0.05212,3.5,5.0,4.499807177530968,4.769340460570261
12,3.0,10.424,0.05212,3.5,10.0,2.660114848679723,2.6715019221721543
13,3.0,10.424,0.05212,3.5,50.0,0.2198996504019023,0.21682666727930425
14,3.0,10.424,0.05212,3.5,150.0,0.02575231042095709,0.02543004991632578
15,3.0,10.424,0.05212,5.0,2.5,6.268289467782328,7.031806298469798
16,3.0,10.424,0.05212,5.0,5.0,4.895989004818833,5.180645288068563
17,3.0,10.424,0.05212,5.0,10.0,2.8544968458757185,2.8744865904282633
18,3.0,10.424,0.05212,5.0,50.0,0.2227419883085661,0.21980545792756087
19,3.0,10.424,0.05212,5.0,150.0,0.025795336150182775,0.025473646841341287
20,3.0,10.424,0.05212,6.0,2.5,6.846309000250922,7.536003599731523
21,3.0,10.424,0.05212,6.0,5.0,5.168362926012456,5.450303420297696
22,3.0,10.424,0.05212,6.0,10.0,2.9482413313459217,2.9734871273704098
23,3.0,10.424,0.05212,6.0,50.0,0.22363906376972298,0.22074721613363554
24,3.0,10.424,0.05212,6.0,150.0,0.025808084949470577,0.025486566346454916
25,3.0,10.424,0.05212,10.0,2.5,7.609350046624173,8.455845717312323
26,3.0,10.424,0.05212,10.0,5.0,5.631271104870448,5.977318833668733
27,3.0,10.424,0.05212,10.0,10.0,3.119320593403164,3.162433786875461
28,3.0,10.424,0.05212,10.0,50.0,0.22499934066436292,0.2221767490119681
29,3.0,10.424,0.05212,10.0,150.0,0.025826723872263622,0.025505455549710537
30,3.0,11.4,0.057,2.4,2.5,5.692901980400289,6.308384093177582
31,3.0,11.4,0.057,2.4,5.0,4.346883971284909,4.575336021697251
32,3.0,11.4,0.057,2.4,10.0,2.5188832913401797,2.5235238254962775
33,3.0,11.4,0.057,2.4,50.0,0.2146050863214159,0.2117895717768691
34,3.0,11.4,0.057,2.4,150.0,0.02565940592648469,0.025388726191117886
35,3.0,11.4,0.057,3.0,2.5,5.735936783075744,6.370525253794416
36,3.0,11.4,0.057,3.0,5.0,4.415541563246041,4.656822834443261
37,3.0,11.4,0.057,3.0,10.0,2.5914454978556156,2.6012750636611335
38,3.0,11.4,0.057,3.0,50.0,0.21806740411289252,0.21539327676051884
39,3.0,11.4,0.057,3.0,150.0,0.025722218911750288,0.02545234867257322
40,3.0,11.4,0.057,3.5,2.5,5.795417967533194,6.452526849273686
41,3.0,11.4,0.057,3.5,5.0,4.499807177530968,4.753054226462371
42,3.0,11.4,0.057,3.5,10.0,2.660114848679723,2.6737657471803686
43,3.0,11.4,0.057,3.5,50.0,0.2198996504019023,0.21730465872240015
44,3.0,11.4,0.057,3.5,150.0,0.02575231042095709,0.02548283369605223
45,3.0,11.4,0.057,5.0,2.5,6.268289467782328,6.976495486086101
46,3.0,11.4,0.057,5.0,5.0,4.895989004818833,5.163868723600231
47,3.0,11.4,0.057,5.0,10.0,2.8544968458757185,2.87634972117486
48,3.0,11.4,0.057,5.0,50.0,0.2227419883085661,0.22027569004138325
49,3.0,11.4,0.057,5.0,150.0,0.025795336150182775,0.025526425874482436
50,3.0,11.4,0.057,6.0,2.5,6.846309000250922,7.485867918592796
51,3.0,11.4,0.057,6.0,5.0,5.168362926012456,5.43400123996902
52,3.0,11.4,0.057,6.0,10.0,2.9482413313459217,2.9750685969677013
53,3.0,11.4,0.057,6.0,50.0,0.22363906376972298,0.22121488319554122
54,3.0,11.4,0.057,6.0,150.0,0.025808084949470577,0.02553934402563225
55,3.0,11.4,0.057,10.0,2.5,7.609350046624173,8.395304992065652
56,3.0,11.4,0.057,10.0,5.0,5.631271104870448,5.956606872679204
57,3.0,11.4,0.057,10.0,10.0,3.119320593403164,3.1628453504737313
58,3.0,11.4,0.057,10.0,50.0,0.22499934066436292,0.22264042509793688
59,3.0,11.4,0.057,10.0,150.0,0.025826723872263622,0.025558231807251048
60,3.0,12.376,0.06188,2.4,2.5,5.692901980400289,6.265800163190894
61,3.0,12.376,0.06188,2.4,5.0,4.346883971284909,4.5622771756877025
62,3.0,12.376,0.06188,2.4,10.0,2.5188832913401797,2.525490301538423
63,3.0,12.376,0.06188,2.4,50.0,0.2146050863214159,0.21217276050035208
64,3.0,12.376,0.06188,2.4,150.0,0.02565940592648469,0.025429492031564995
65,3.0,12.376,0.06188,3.0,2.5,5.735936783075744,6.3265209428023255
66,3.0,12.376,0.06188,3.0,5.0,4.415541563246041,4.642879940030792
67,3.0,12.376,0.06188,3.0,10.0,2.5914454978556156,2.602929214946965
68,3.0,12.376,0.06188,3.0,50.0,0.21806740411289252,0.21576883446205877
69,3.0,12.376,0.06188,3.0,150.0,0.025722218911750288,0.025493101058159478
70,3.0,12.376,0.06188,3.5,2.5,5.795417967533194,6.406951390216874
71,3.0,12.376,0.06188,3.5,5.0,4.499807177530968,4.738356188054509
72,3.0,12.376,0.06188,3.5,10.0,2.660114848679723,2.675214137131478
73,3.0,12.376,0.06188,3.5,50.0,0.2198996504019023,0.21767588997923562
74,3.0,12.376,0.06188,3.5,150.0,0.02575231042095709,0.025523579183114743
75,3.0,12.376,0.06188,5.0,2.5,6.268289467782328,6.928431176270343
76,3.0,12.376,0.06188,5.0,5.0,4.895989004818833,5.148648887431704
77,3.0,12.376,0.06188,5.0,10.0,2.8544968458757185,2.8774141912716913
78,3.0,12.376,0.06188,5.0,50.0,0.2227419883085661,0.22063982208702987
79,3.0,12.376,0.06188,5.0,150.0,0.025795336150182775,0.025567161418209253
80,3.0,12.376,0.06188,6.0,2.5,6.846309000250922,7.442277296492398
81,3.0,12.376,0.06188,6.0,5.0,5.168362926012456,5.419145633204188
82,3.0,12.376,0.06188,6.0,10.0,2.9482413313459217,2.975872519846548
83,3.0,12.376,0.06188,6.0,50.0,0.22363906376972298,0.2215766750765724
84,3.0,12.376,0.06188,6.0,150.0,0.025808084949470577,0.02558007694015892
