index,radius [cm],frequency [GHz],distance [mm],col_points,sPDn_pln [W/m2],sPDn_sph [W/m2]
127,5.5384,3.0,10.0,5.0,2.5914454978556156,2.600560734259911
128,5.5384,3.0,50.0,5.0,0.21806740411289252,0.2152471399101203
129,5.5384,3.0,150.0,5.0,0.025722218911750288,0.025436412331391066
130,5.5384,3.5,2.5,5.0,5.795417967533194,6.469105952756257
131,5.5384,3.5,5.0,5.0,4.499807177530968,4.758264939971195
132,5.5384,3.5,10.0,5.0,2.660114848679723,2.67312352805916
133,5.5384,3.5,50.0,5.0,0.2198996504019023,0.21716004169610595
134,5.5384,3.5,150.0,5.0,0.02575231042095709,0.025466898629576545
135,5.5384,5.0,2.5,5.0,6.268289467782328,6.9939365955363435
136,5.5384,5.0,5.0,5.0,4.895989004818833,5.169247387917781
137,5.5384,5.0,10.0,5.0,2.8544968458757185,2.8758387624088786
138,5.5384,5.0,50.0,5.0,0.2227419883085661,0.22013356536115122
139,5.5384,5.0,150.0,5.0,0.025795336150182775,0.025510493700944516
140,5.5384,6.0,2.5,5.0,6.846309000250922,7.501681204313715
141,5.5384,6.0,5.0,5.0,5.168362926012456,5.439236898881755
142,5.5384,6.0,10.0,5.0,2.9482413313459217,2.974648593298931
143,5.5384,6.0,50.0,5.0,0.22363906376972298,0.22107358577819897
144,5.5384,6.0,150.0,5.0,0.025808084949470577,0.025523412445489144
145,5.5384,10.0,2.5,5.0,7.609350046624173,8.414414599690637
146,5.5384,10.0,5.0,5.0,5.631271104870448,5.963237613111419
147,5.5384,10.0,10.0,5.0,3.119320593403164,3.1627968676180487
148,5.5384,10.0,50.0,5.0,0.22499934066436292,0.22250040992940545
149,5.5384,10.0,150.0,5.0,0.025826723872263622,0.02554230053341608
150,9.9,2.4,2.5,5.0,5.692901980400289,6.067004227495702
151,9.9,2.4,5.0,5.0,4.346883971284909,4.495141222050509
152,9.9,2.4,10.0,5.0,2.5188832913401797,2.529486684917928
153,9.9,2.4,50.0,5.0,0.2146050863214159,0.21352589640531092
154,9.9,2.4,150.0,5.0,0.02565940592648469,0.025568631056530497
155,9.9,3.0,2.5,5.0,5.735936783075744,6.121317349785917
156,9.9,3.0,5.0,5.0,4.415541563246041,4.571610209198013
157,9.9,3.0,10.0,5.0,2.5914454978556156,2.6053640882621005
158,9.9,3.0,50.0,5.0,0.21806740411289252,0.21708150729168496
159,9.9,3.0,150.0,5.0,0.025722218911750288,0.02563207952322743
160,9.9,3.5,2.5,5.0,5.795417967533194,6.194440056587032
161,9.9,3.5,5.0,5.0,4.499807177530968,4.6634032771245515
162,9.9,3.5,10.0,5.0,2.660114848679723,2.6765593980977207
163,9.9,3.5,50.0,5.0,0.2198996504019023,0.21896579996199542
164,9.9,3.5,150.0,5.0,0.02575231042095709,0.02566247918806965
165,9.9,5.0,2.5,5.0,6.268289467782328,6.702142141995407
166,9.9,5.0,5.0,5.0,4.895989004818833,5.070190956135749
167,9.9,5.0,10.0,5.0,2.8544968458757185,2.8765654756221752
168,9.9,5.0,50.0,5.0,0.2227419883085661,0.22189255364909913
169,9.9,5.0,150.0,5.0,0.025795336150182775,0.02570594778142014
170,9.9,6.0,2.5,5.0,6.846309000250922,7.237080556358505
171,9.9,6.0,5.0,5.0,5.168362926012456,5.341904639350589
172,9.9,6.0,10.0,5.0,2.9482413313459217,2.9736262236670963
173,9.9,6.0,50.0,5.0,0.22363906376972298,0.2228171991935062
174,9.9,6.0,150.0,5.0,0.025808084949470577,0.025718827987060242
175,9.9,10.0,2.5,5.0,7.609350046624173,8.092790634750433
176,9.9,10.0,5.0,5.0,5.631271104870448,5.842056647424734
177,9.9,10.0,10.0,5.0,3.119320593403164,3.1552769219285954
178,9.9,10.0,50.0,5.0,0.22499934066436292,0.22422016053102312
179,9.9,10.0,150.0,5.0,0.025826723872263622,0.025737660697440237
180,14.2616,2.4,2.5,5.0,5.692901980400289,5.958142288369543
181,14.2616,2.4,5.0,5.0,4.346883971284909,4.454656544286126
182,14.2616,2.4,10.0,5.0,2.5188832913401797,2.5285826740988147
183,14.2616,2.4,50.0,5.0,0.2146050863214159,0.2140127540365602
184,14.2616,2.4,150.0,5.0,0.02565940592648469,0.025615111970469836
185,14.2616,3.0,2.5,5.0,5.735936783075744,6.0090793445374935
186,14.2616,3.0,5.0,5.0,4.415541563246041,4.528856848693851
187,14.2616,3.0,10.0,5.0,2.5914454978556156,2.6035417569552375
188,14.2616,3.0,50.0,5.0,0.21806740411289252,0.21754330479766032
189,14.2616,3.0,150.0,5.0,0.025722218911750288,0.025678414694232574
190,14.2616,3.5,2.5,5.0,5.795417967533194,6.078217623170665
191,14.2616,3.5,5.0,5.0,4.499807177530968,4.6185337349907645
192,14.2616,3.5,10.0,5.0,2.660114848679723,2.6740609666112003
193,14.2616,3.5,50.0,5.0,0.2198996504019023,0.21941357229378736
194,14.2616,3.5,150.0,5.0,0.02575231042095709,0.025708743341400893
195,14.2616,5.0,2.5,5.0,6.268289467782328,6.576953565959127
196,14.2616,5.0,5.0,5.0,4.895989004818833,5.022736974405733
197,14.2616,5.0,10.0,5.0,2.8544968458757185,2.872616961706461
198,14.2616,5.0,50.0,5.0,0.2227419883085661,0.22231752492212578
199,14.2616,5.0,150.0,5.0,0.025795336150182775,0.02575211003196766
200,14.2616,6.0,2.5,5.0,6.846309000250922,7.12381612783647
201,14.2616,6.0,5.0,5.0,5.168362926012456,5.294834141608241
202,14.2616,6.0,10.0,5.0,2.9482413313459217,2.96879884285481
203,14.2616,6.0,50.0,5.0,0.22363906376972298,0.22323471174346102
204,14.2616,6.0,150.0,5.0,0.025808084949470577,0.025764960532173035
205,14.2616,10.0,2.5,5.0,7.609350046624173,7.953797766845685
206,14.2616,10.0,5.0,5.0,5.631271104870448,5.784446178645644
207,14.2616,10.0,10.0,5.0,3.119320593403164,3.1474998223895456
208,14.2616,10.0,50.0,5.0,0.22499934066436292,0.22462611538606087
209,14.2616,10.0,150.0,5.0,0.025826723872263622,0.02578374831415234
210,17.2401,2.4,2.5,5.0,5.692901980400289,5.914103610914507
211,17.2401,2.4,5.0,5.0,4.346883971284909,4.437621412131423
212,17.2401,2.4,10.0,5.0,2.5188832913401797,2.5276754958038494
213,17.2401,2.4,50.0,5.0,0.2146050863214159,0.21416626523331386
214,17.2401,2.4,150.0,5.0,0.02565940592648469,0.02562886019807211
215,17.2401,3.0,2.5,5.0,5.735936783075744,5.963698668516402
216,17.2401,3.0,5.0,5.0,4.415541563246041,4.510902906909813
217,17.2401,3.0,10.0,5.0,2.5914454978556156,2.602251711235483
218,17.2401,3.0,50.0,5.0,0.21806740411289252,0.21768616532116708
219,17.2401,3.0,150.0,5.0,0.025722218911750288,0.02569209420587959
220,17.2401,3.5,2.5,5.0,5.795417967533194,6.031228374513715
221,17.2401,3.5,5.0,5.0,4.499807177530968,4.599705485094546
222,17.2401,3.5,10.0,5.0,2.660114848679723,2.6724829716825935
223,17.2401,3.5,50.0,5.0,0.2198996504019023,0.21955047853228485
224,17.2401,3.5,150.0,5.0,0.02575231042095709,0.02572238957009296
225,17.2401,5.0,2.5,5.0,6.268289467782328,6.526061751406284
226,17.2401,5.0,5.0,5.0,4.895989004818833,5.002741496570469
227,17.2401,5.0,10.0,5.0,2.8544968458757185,2.8704070976439096
228,17.2401,5.0,50.0,5.0,0.2227419883085661,0.2224447760644055
229,17.2401,5.0,150.0,5.0,0.025795336150182775,0.02576570816473476
230,17.2401,6.0,2.5,5.0,6.846309000250922,7.077865968508883
231,17.2401,6.0,5.0,5.0,5.168362926012456,5.274945514688555
232,17.2401,6.0,10.0,5.0,2.9482413313459217,2.966212628606117
233,17.2401,6.0,50.0,5.0,0.22363906376972298,0.22335880768163194
234,17.2401,6.0,150.0,5.0,0.025808084949470577,0.025778544041907832
235,17.2401,10.0,2.5,5.0,7.609350046624173,7.8971608431310605
236,17.2401,10.0,5.0,5.0,5.631271104870448,5.7602233762566755
237,17.2401,10.0,10.0,5.0,3.119320593403164,3.1436898255291683
238,17.2401,10.0,50.0,5.0,0.22499934066436292,0.22474532571814054
239,17.2401,10.0,150.0,5.0,0.025826723872263622,0.02579731148267402
240,2.2122,2.4,2.5,7.0,5.692901980400289,6.921197432042064
241,2.2122,2.4,5.0,7.0,4.346883971284909,4.658953183154495
242,2.2122,2.4,10.0,7.0,2.5188832913401797,2.4039938020806306
243,2.2122,2.4,50.0,7.0,0.2146050863214159,0.19805583696691362
244,2.2122,2.4,150.0,7.0,0.02565940592648469,0.02382229197871342
245,2.2122,3.0,2.5,7.0,5.735936783075744,7.007461963497373
246,2.2122,3.0,5.0,7.0,4.415541563246041,4.75306946935183
247,2.2122,3.0,10.0,7.0,2.5914454978556156,2.4845091821525407
248,2.2122,3.0,50.0,7.0,0.21806740411289252,0.20168417103969513
249,2.2122,3.0,150.0,7.0,0.025722218911750288,0.02388425427694498
250,2.2122,3.5,2.5,7.0,5.795417967533194,7.112582919958166
251,2.2122,3.5,5.0,7.0,4.499807177530968,4.857804246885853
252,2.2122,3.5,10.0,7.0,2.660114848679723,2.5578740699070197
253,2.2122,3.5,50.0,7.0,0.2198996504019023,0.20361275341302582
254,2.2122,3.5,150.0,7.0,0.02575231042095709,0.023913950431918164
255,2.2122,5.0,2.5,7.0,6.268289467782328,7.6443212129543054
256,2.2122,5.0,5.0,7.0,4.895989004818833,5.25965699307289
257,2.2122,5.0,10.0,7.0,2.8544968458757185,2.7596104530758296
258,2.2122,5.0,50.0,7.0,0.2227419883085661,0.2066161203212566
259,2.2122,5.0,150.0,7.0,0.025795336150182775,0.02395642211717365
260,2.2122,6.0,2.5,7.0,6.846309000250922,8.077397690551502
261,2.2122,6.0,5.0,7.0,5.168362926012456,5.515667107187499
262,2.2122,6.0,10.0,7.0,2.9482413313459217,2.859278361280736
263,2.2122,6.0,50.0,7.0,0.22363906376972298,0.20756694365134623
264,2.2122,6.0,150.0,7.0,0.025808084949470577,0.023969009918966538
265,2.2122,10.0,2.5,7.0,7.609350046624173,9.10269838994611
266,2.2122,10.0,5.0,7.0,5.631271104870448,6.087483552321091
267,2.2122,10.0,10.0,7.0,3.119320593403164,3.058373087989937
268,2.2122,10.0,50.0,7.0,0.22499934066436292,0.2090114272919528
269,2.2122,10.0,150.0,7.0,0.025826723872263622,0.023987414769961413
270,3.8936,2.4,2.5,7.0,5.692901980400289,6.536976538881863
271,3.8936,2.4,5.0,7.0,4.346883971284909,4.63512768498325
272,3.8936,2.4,10.0,7.0,2.5188832913401797,2.504168994982505
273,3.8936,2.4,50.0,7.0,0.2146050863214159,0.20896956916828213
274,3.8936,2.4,150.0,7.0,0.02565940592648469,0.025079727515724883
275,3.8936,3.0,2.5,7.0,5.735936783075744,6.607111561505786
276,3.8936,3.0,5.0,7.0,4.415541563246041,4.721349982536952
277,3.8936,3.0,10.0,7.0,2.5914454978556156,2.5834253049976916
278,3.8936,3.0,50.0,7.0,0.21806740411289252,0.21260606151582978
279,3.8936,3.0,150.0,7.0,0.025722218911750288,0.02514325021361775
280,3.8936,3.5,2.5,7.0,5.795417967533194,6.697590211968605
281,3.8936,3.5,5.0,7.0,4.499807177530968,4.82138201795431
282,3.8936,3.5,10.0,7.0,2.660114848679723,2.656809843251024
283,3.8936,3.5,50.0,7.0,0.2198996504019023,0.21453631130638454
284,3.8936,3.5,150.0,7.0,0.02575231042095709,0.025173689160436725
285,3.8936,5.0,2.5,7.0,6.268289467782328,7.231723213924768
286,3.8936,5.0,5.0,7.0,4.895989004818833,5.2332918551439676
287,3.8936,5.0,10.0,7.0,2.8544968458757185,2.860805815919751
288,3.8936,5.0,50.0,7.0,0.2227419883085661,0.21753868877795693
289,3.8936,5.0,150.0,7.0,0.025795336150182775,0.02521721873969568
290,3.8936,6.0,2.5,7.0,6.846309000250922,7.716636913347268
291,3.8936,6.0,5.0,7.0,5.168362926012456,5.500628403637524
292,3.8936,6.0,10.0,7.0,2.9482413313459217,2.960633267506453
293,3.8936,6.0,50.0,7.0,0.22363906376972298,0.21848829953246643
294,3.8936,6.0,150.0,7.0,0.025808084949470577,0.025230118552907816
295,3.8936,10.0,2.5,7.0,7.609350046624173,8.672917603692905
296,3.8936,10.0,5.0,7.0,5.631271104870448,6.043204773812977
297,3.8936,10.0,10.0,7.0,3.119320593403164,3.1535787559356394
298,3.8936,10.0,50.0,7.0,0.22499934066436292,0.21993012207838805
299,3.8936,10.0,150.0,7.0,0.025826723872263622,0.025248980215047283
300,6.6127,2.4,2.5,7.0,5.692901980400289,6.233161268256026
301,6.6127,2.4,5.0,7.0,4.346883971284909,4.551927572594491
302,6.6127,2.4,10.0,7.0,2.5188832913401797,2.5267100575737027
303,6.6127,2.4,50.0,7.0,0.2146050863214159,0.21244205702459082
304,6.6127,2.4,150.0,7.0,0.02565940592648469,0.025457866206622885
305,6.6127,3.0,2.5,7.0,5.735936783075744,6.2928059449308344
306,6.6127,3.0,5.0,7.0,4.415541563246041,4.631852329659376
307,6.6127,3.0,10.0,7.0,2.5914454978556156,2.603903951667923
308,6.6127,3.0,50.0,7.0,0.21806740411289252,0.21603201467851194
309,6.6127,3.0,150.0,7.0,0.025722218911750288,0.025521459487343297
310,6.6127,3.5,2.5,7.0,5.795417967533194,6.372033670613639
311,6.6127,3.5,5.0,7.0,4.499807177530968,4.726741478397432
312,6.6127,3.5,10.0,7.0,2.660114848679723,2.6760240472339767
313,6.6127,3.5,50.0,7.0,0.2198996504019023,0.21793561354282875
314,6.6127,3.5,150.0,7.0,0.02575231042095709,0.025551929605982893
315,6.6127,5.0,2.5,7.0,6.268289467782328,6.891491661624237
316,6.6127,5.0,5.0,7.0,4.895989004818833,5.13657589763201
317,6.6127,5.0,10.0,7.0,2.8544968458757185,2.877907998158671
318,6.6127,5.0,50.0,7.0,0.2227419883085661,0.22089388135658908
319,6.6127,5.0,150.0,7.0,0.025795336150182775,0.025595500724050733
320,6.6127,6.0,2.5,7.0,6.846309000250922,7.408768419602722
321,6.6127,6.0,5.0,7.0,5.168362926012456,5.407324823533566
322,6.6127,6.0,10.0,7.0,2.9482413313459217,2.976156795193035
323,6.6127,6.0,50.0,7.0,0.22363906376972298,0.22182887245549013
324,6.6127,6.0,150.0,7.0,0.025808084949470577,0.025608412243661102
325,6.6127,10.0,2.5,7.0,7.609350046624173,8.301939021305618
326,6.6127,10.0,5.0,7.0,5.631271104870448,5.923073657407242
327,6.6127,10.0,10.0,7.0,3.119320593403164,3.162090080024205
328,6.6127,10.0,50.0,7.0,0.22499934066436292,0.2232478752987048
329,6.6127,10.0,150.0,7.0,0.025826723872263622,0.02562729001705877
330,9.9,2.4,2.5,7.0,5.692901980400289,6.067004227495702
331,9.9,2.4,5.0,7.0,4.346883971284909,4.495141222050509
332,9.9,2.4,10.0,7.0,2.5188832913401797,2.529486684917928
333,9.9,2.4,50.0,7.0,0.2146050863214159,0.21352589640531092
334,9.9,2.4,150.0,7.0,0.02565940592648469,0.025568631056530497
335,9.9,3.0,2.5,7.0,5.735936783075744,6.121317349785917
336,9.9,3.0,5.0,7.0,4.415541563246041,4.571610209198013
337,9.9,3.0,10.0,7.0,2.5914454978556156,2.6053640882621005
338,9.9,3.0,50.0,7.0,0.21806740411289252,0.21708150729168496
339,9.9,3.0,150.0,7.0,0.025722218911750288,0.02563207952322743
340,9.9,3.5,2.5,7.0,5.795417967533194,6.194440056587032
341,9.9,3.5,5.0,7.0,4.499807177530968,4.6634032771245515
342,9.9,3.5,10.0,7.0,2.660114848679723,2.6765593980977207
343,9.9,3.5,50.0,7.0,0.2198996504019023,0.21896579996199542
344,9.9,3.5,150.0,7.0,0.02575231042095709,0.02566247918806965
345,9.9,5.0,2.5,7.0,6.268289467782328,6.702142141995407
346,9.9,5.0,5.0,7.0,4.895989004818833,5.070190956135749
347,9.9,5.0,10.0,7.0,2.8544968458757185,2.8765654756221752
348,9.9,5.0,50.0,7.0,0.2227419883085661,0.22189255364909913
349,9.9,5.0,150.0,7.0,0.025795336150182775,0.02570594778142014
350,9.9,6.0,2.5,7.0,6.846309000250922,7.237080556358505
351,9.9,6.0,5.0,7.0,5.168362926012456,5.341904639350589
352,9.9,6.0,10.0,7.0,2.9482413313459217,2.9736262236670963
353,9.9,6.0,50.0,7.0,0.22363906376972298,0.2228171991935062
354,9.9,6.0,150.0,7.0,0.025808084949470577,0.025718827987060242
355,9.9,10.0,2.5,7.0,7.609350046624173,8.092790634750433
356,9.9,10.0,5.0,7.0,5.631271104870448,5.842056647424734
357,9.9,10.0,10.0,7.0,3.119320593403164,3.1552769219285954
358,9.9,10.0,50.0,7.0,0.22499934066436292,0.22422016053102312
359,9.9,10.0,150.0,7.0,0.025826723872263622,0.025737660697440237
360,13.1873,2.4,2.5,7.0,5.692901980400289,5.978645974839348
361,13.1873,2.4,5.0,7.0,4.346883971284909,4.462462324513893
362,13.1873,2.4,10.0,7.0,2.5188832913401797,2.5289018610786203
363,13.1873,2.4,50.0,7.0,0.2146050863214159,0.21393304533184004
364,13.1873,2.4,150.0,7.0,0.02565940592648469,0.025607755448972785
365,13.1873,3.0,2.5,7.0,5.735936783075744,6.030212749467812
366,13.1873,3.0,5.0,7.0,4.415541563246041,4.537090134707637
367,13.1873,3.0,10.0,7.0,2.5914454978556156,2.604037031826721
368,13.1873,3.0,50.0,7.0,0.21806740411289252,0.21746845984766439
369,13.1873,3.0,150.0,7.0,0.025722218911750288,0.025671088007328334
370,13.1873,3.5,2.5,7.0,5.795417967533194,6.100100498279264
371,13.1873,3.5,5.0,7.0,4.499807177530968,4.627170432571278
372,13.1873,3.5,10.0,7.0,2.660114848679723,2.6746874485470737
373,13.1873,3.5,50.0,7.0,0.2198996504019023,0.21934144063311142
374,13.1873,3.5,150.0,7.0,0.02575231042095709,0.025701431759145132
375,13.1873,5.0,2.5,7.0,6.268289467782328,6.60059945143421
376,13.1873,5.0,5.0,7.0,4.895989004818833,5.031893726185742
377,13.1873,5.0,10.0,7.0,2.8544968458757185,2.8735289847674705
378,13.1873,5.0,50.0,7.0,0.2227419883085661,0.22224980791229593
379,13.1873,5.0,150.0,7.0,0.025795336150182775,0.0257448191966887
380,13.1873,6.0,2.5,7.0,6.846309000250922,7.145186422996867
381,13.1873,6.0,5.0,7.0,5.168362926012456,5.3039320444706295
382,13.1873,6.0,10.0,7.0,2.9482413313459217,2.969882091566254
383,13.1873,6.0,50.0,7.0,0.22363906376972298,0.22316844064285082
384,13.1873,6.0,150.0,7.0,0.025808084949470577,0.02575767600834813
