% Model:              ear_adult_26GHz_TM.mph
% Version:            COMSOL 5.6.0.401
% Date:               Apr 27 2022, 16:08
% Dimension:          3
% Nodes:              16613
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        Color
-0.01450068512989012      -0.009649786925208707    -0.003290911602256897    4.798198571511741
-0.014299970164988553     -0.009765497412017824    -0.003550546623536971    4.161220431505154
-0.014376017865981054     -0.009940055664382722    -0.003202809518809916    4.136529065721203
-0.014593941195662836     -0.009771779848800847    -0.002951800340300556    4.9236340270192605
-0.014450238343411128     -0.01010661495281871     -0.002850772384523683    4.115267358856852
-0.014673121809200593     -0.009920358352192302    -0.0025962267414030922   4.9816264165039765
-0.014521675775859586     -0.010266217589225678    -0.002494956564801474    4.186010155188503
-0.014331256947819494     -0.00936147879397719     -0.003932026579812799    4.642875160804652
-0.014165616435562495     -0.009403208109523638    -0.004177706298571679    4.263543138084416
-0.01422529259005027      -0.009579001181792668    -0.0038914366691345133   4.22443222079101
-0.0144133701974253       -0.009518937956282985    -0.003611193698896604    4.6942735723538656
-0.01457186430363023      -0.009409933179164961    -0.003400574847521896    5.262048009551748
-0.014511790680733818     -0.009280056394739965    -0.0036597352101670204   5.230677958858462
-0.014696127270849114     -0.009159533578165973    -0.0033659758680598317   5.882221688716924
-0.014947228486364556     -0.010679412872077076    -8.151256824487815E-4    4.921507146298424
-0.014772027800366228     -0.010833030048886468    -0.0010449239716807173   4.1661209612020045
-0.014818980120608331     -0.010944795457605613    -7.152551521331577E-4    4.1016115907364705
-0.014590025659586975     -0.01041886816935765     -0.0021355036573755142   4.129546996393345
-0.014654960877250715     -0.010564618614330744    -0.001772570407389627    4.166098618512648
-0.014810856173533863     -0.010213114900826804    -0.0018869694704454188   5.031648719636963
-0.014873287102893935     -0.010360349030789823    -0.0015178377841742626   5.08935663765929
-0.014716135862616714     -0.010703562889771642    -0.0014063295756198467   4.160671343827297
-0.014929667081223383     -0.010500119494104086    -0.001153095395156405    5.11080627067355
-0.01473885086048935      -0.010074389720812205    -0.0022484647908975813   4.998669160613937
