% Model:              ear_adult_26GHz_TE2.mph
% Version:            COMSOL 5.6.0.401
% Date:               Apr 27 2022, 16:11
% Dimension:          3
% Nodes:              15774
% Expressions:        1
% Description:        Surface
% X                       Y                        Z                        Color
-0.015376666963108396     -0.009340483530628321    -7.449975424726348E-4    -3.082036544074248
-0.015350593018127556     -0.009145142483474127    -9.86749112995492E-4     -3.09086408929355
-0.015312416633631745     -0.009507372481873244    -9.867491129954794E-4    -3.341167647146587
-0.015385720816269297     -0.009065346132680344    -7.549879538228987E-4    -2.958996507583426
-0.015347663334927618     -0.008780919717116503    -9.867491129954935E-4    -3.000968994863349
-0.01542130878693745      -0.009146589351386706    -4.785174482146886E-4    -2.870231423842379
-0.015392554934539865     -0.008846307764236812    -6.028086545107998E-4    -2.850924223644812
-0.015433213050740633     -0.008908765608784723    -2.179090784680618E-4    -2.7134226998729702
-0.015340335267883932     -0.009693022578172531    -6.860294579955085E-4    -3.357537346078635
-0.015418810402256844     -0.009513001590788828    -3.882212059629434E-4    -3.018459931333666
-0.014956269070035864     -0.010724050546845429    -7.121606710980943E-4    -5.412321540962148
-0.014965431019149326     -0.010539320279473284    -9.867491129954913E-4    -5.191554248315454
-0.01478059700943034      -0.010853184177871974    -9.86749112995496E-4     -6.060314481211005
-0.014831458623311134     -0.010975139491555779    -6.226487033701121E-4    -6.062385731992279
-0.015129955411670917     -0.01042515834939887     -6.237777859026783E-4    -4.62627846864104
-0.01523371501472949      -0.009863005153383819    -9.867491129954917E-4    -3.794682916939223
-0.015363985440023903     -0.009881706988982846    -3.741763985174932E-4    -3.404050856568593
-0.01511685846674547      -0.010208009541208748    -9.867491129954779E-4    -4.446497414559526
-0.015254429628138078     -0.010047972499775914    -6.775442122183278E-4    -3.893511329741141
-0.015281840424298764     -0.01017379395266023     -3.932874996202643E-4    -3.9240555595496565
-0.015362745715394675     -0.010114070270697799    -9.703975882864333E-5    -3.593977793293598
-0.015392323127049603     -0.010510023801684731    6.773345889282137E-4     -3.828878270669359
-0.015374907210138164     -0.010404345057503128    3.987655937249521E-4     -3.8043018876792973
-0.01526879247582519      -0.010735363705144538    4.7963662428044475E-4    -4.489919347855029
-0.014917513311629592     -0.011195570933374099    9.612300179953853E-5     -6.105328811673826
-0.014952777634990836     -0.011293281531576438    4.4576434308308383E-4    -6.161181479080256
-0.015107943948059633     -0.01097662330837961     2.900515536276879E-4     -5.266703772810037
-0.015292902683004022     -0.010840927090170907    8.185666994749448E-4     -4.507253958777792
-0.015135873946267416     -0.011073653634019328    6.212069531578282E-4     -5.2902004766566595
-0.015158997562681752     -0.011168218374545794    9.563522067667145E-4     -5.302436327255793
-0.014983137708820484     -0.011382069480723121    7.845725722612003E-4     -6.109058401307114
-0.015410279780346828     -0.010627846533213886    0.0010096537032963046    -3.8561413364634674
-0.015479200126307026     -0.010361264847659734    9.371521677651417E-4     -3.380270408336826
-0.015513973349236326     -0.010387709607262189    0.0012250001895375382    -3.2628118846875043
-0.015537165799007976     -0.010502231764422396    0.001630483503983167     -3.2348242153103812
-0.015589699806189287     -0.010134081563100266    0.0014277689024606384    -2.823775651824892
-0.015461287217449644     -0.009705828770642645    1.736660154751295E-5     -2.9861589419067682
-0.015468109595261677     -0.009275710481676483    -9.452905871861809E-5    -2.767858982460273
-0.015513335178903773     -0.009356616074229142    3.1019513097620263E-4    -2.6558727963229978
-0.01547025039605638      -0.008967757056170544    1.6790366152243292E-4    -2.583826670409858
-0.015504279683012873     -0.009022745911803617    5.545836118448602E-4     -2.4812531790440504
-0.01555159784984622      -0.00938873564413857     6.96598500933725E-4      -2.554527592481156
